Description,Date,Earned,Paid,Category,Destination,Source,Net,,Balance,Involved
Liberty Mutual Car Insurance,4/6/2021,$0.01,$49.80,Transportation,Checking,Checking,-$49.79,,$4866.66,CheckingChecking
Stimulus Check 3,4/7/2021,$1400.00,,Grant,Savings,,$1400.00,,$6266.66,Savings
Interest,4/10/2021,$1.57,,Interest ,Savings,,$1.57,,$6268.23,Savings
Discover Payment,4/16/2021,$92.57,$92.57,Misc,Discover,Savings,$0.00,,$6268.23,DiscoverSavings
Wendy’s,4/18/2021,,$3.20,Food,,Apple Card,-$3.20,,$6265.03,Apple Card
Gas,4/18/2021,,$30.45,Transportation,,Apple Card,-$30.45,,$6234.58,Apple Card
Apartment Admin Fees,4/23/2021,,$95.00,Housing,,Apartment,-$95.00,,$6139.58,Apartment
Urban Light Tithe,4/26/2021,,$20.00,Tithe (Legal),,Discover,-$20.00,,$6119.58,Discover
Madison Flight COS —> SB,5/1/2021,,$118.20,M,,Apple Card,-$118.20,,$6001.38,Apple Card
Colorado Apartment,5/1/2021,$157.50,$315.00,Housing,Apartment,Savings,-$157.50,,$5843.88,ApartmentSavings
IHOP FOSO Fancy PAD,5/1/2021,,$31.55,M,,Discover,-$31.55,,$5812.33,Discover
Gas,5/2/2021,,$32.58,Transportation,,Discover,-$32.58,,$5779.75,Discover
Car Vacume,5/3/2021,,$2.00,Transportation,,Discover,-$2.00,,$5777.75,Discover
Culvers-Ice Cream,5/3/2021,,$4.63,M,,Discover,-$4.63,,$5773.12,Discover
Apple Card Payment,5/3/2021,$5.73,$5.73,Misc,Apple Card,Savings,$0.00,,$5773.12,Apple CardSavings
Apple Subscription,5/4/2021,,$6.39,Entertainment,,Discover,-$6.39,,$5766.73,Discover
Amazon Car Topper,5/4/2021,$75.10,$75.10,Transportation,Checking,Discover,$0.00,,$5766.73,CheckingDiscover
"Amazon adapter, sprayer, cable",5/4/2021,$0.02,$17.00,Tech,Checking,Discover,-$16.98,,$5749.75,CheckingDiscover
Liberty Mutual Car Insurance,5/5/2021,,$50.81,Transportation,,Savings,-$50.81,,$5698.94,Savings
Interest,5/10/2021,$2.39,,Interest ,Savings,,$2.39,,$5701.33,Savings
Gas Taylor —> Wichita,5/15/2021,,$24.18,Travel,,Discover,-$24.18,,$5677.15,Discover
Gas Taylor —> Wichita,5/15/2021,$24.90,$31.59,Travel,Checking,Discover,-$6.69,,$5670.46,CheckingDiscover
Subway Lunch,5/15/2021,,$5.38,Food,,Checking,-$5.38,,$5665.08,Checking
Discover Payment,5/17/2021,$71.01,$71.01,Misc,Discover,Savings,$0.00,,$5665.08,DiscoverSavings
Kratos Housing Reimbursement: May,5/18/2021,$500.00,,Housing,Savings,,$500.00,,$6165.08,Savings
Colorado Apartment,5/18/2021,$114.01,$228.02,Housing,Apartment,Savings,-$114.01,,$6051.07,ApartmentSavings
Daily Cash,5/19/2021,$3.22,$0.31,Rewards, Cash,Apple Card,$2.91,,$6053.98, CashApple Card
Gas WIT-->COS,5/20/2021,,$32.58,Travel,,Discover,-$32.58,,$6021.40,Discover
Walmart: Initial Kitchen Fillup,5/20/2021,$48.96,$97.91,Groceries,Apartment,Discover,-$48.96,,$5972.45,ApartmentDiscover
Walmart: Family Supplies,5/20/2021,,$13.86,Groceries,,Discover,-$13.86,,$5958.59,Discover
Acorns Invest,5/20/2021,$5.00,$5.00,Misc,Acorns,Checking,$0.00,,$5958.59,AcornsChecking
May Rent,5/20/2021,,$176.51,Housing,,Apartment,-$176.51,,$5782.08,Apartment
Walmart: Toilet Supplies,5/21/2021,$7.42,$14.83,Groceries,Apartment,Discover,-$7.42,,$5774.67,ApartmentDiscover
Liz Gift & Groceries,5/22/2021,,$34.72,Groceries,,Discover,-$34.72,,$5739.95,Discover
"The Arc: Lamp, Desk, Chair",5/23/2021,$33.53,$67.05,Furnishing,Apartment,Discover,-$33.53,,$5706.42,ApartmentDiscover
Goodwill: Shoes & Lamp,5/23/2021,,$13.00,Clothes,,Discover,-$13.00,,$5693.42,Discover
Safeway: Food,5/23/2021,$8.23,$16.45,Groceries,Apartment,Discover,-$8.23,,$5685.20,ApartmentDiscover
Goodwill: Table & Chairs,5/23/2021,,$34.50,Furnishing,,Apartment,-$34.50,,$5650.70,Apartment
Sunglasses,5/24/2021,,$10.89,Clothes,,Discover,-$10.89,,$5639.81,Discover
Acorns Transfer,5/24/2021,$100.00,$100.00,Misc,Acorns,Checking,$0.00,,$5639.81,AcornsChecking
Movie Date: Food,5/25/2021,,$25.95,M,,Discover,-$25.95,,$5613.86,Discover
COS Gas,5/25/2021,,$31.70,Transportation,,Apple Card,-$31.70,,$5582.16,Apple Card
Movie Date Tickets,5/25/2021,,$15.00,M,,Apple Card,-$15.00,,$5567.16,Apple Card
Urban Light Tithe,5/26/2021,,$20.00,Tithe (Legal),,Discover,-$20.00,,$5547.16,Discover
Walmart: Chicken Meals & Cleaning Supplies,5/27/2021,$34.50,$69.00,Groceries,Apartment,Discover,-$34.50,,$5512.66,ApartmentDiscover
Walmart: Paper Towels Sandwich,5/28/2021,,$9.87,Groceries,,Apartment,-$9.87,,$5502.79,Apartment
Apple Subscription,5/29/2021,,$6.39,Entertainment,,Discover,-$6.39,,$5496.40,Discover
Portal,5/31/2021,$16.22,$16.22,Entertainment,Checking,Discover,$0.00,,$5496.40,CheckingDiscover
Apple Card Payment,5/31/2021,$154.56,$154.56,Payment,Apple Card,Savings,$0.00,,$5496.40,Apple CardSavings
Monthly Transfer,6/1/2021,$850.00,$850.00,Misc,Checking,Savings,$0.00,,$5496.40,CheckingSavings
June Rent,6/1/2021,,$450.30,Housing,,Apartment,-$450.30,,$5046.10,Apartment
Kratos Housing Reimbursement: Jun,6/1/2021,$500.00,,Housing,Savings,,$500.00,,$5546.10,Savings
West Gerig Icecream,6/2/2021,,$4.27,Food,,Discover,-$4.27,,$5541.83,Discover
Acorns Deposit,6/2/2021,$25.00,$25.00,Investments,Acorns,Checking,$0.00,,$5541.83,AcornsChecking
Rent Payment: June,6/2/2021,$300.20,$600.40,Housing,Apartment,Checking,-$300.20,,$5241.63,ApartmentChecking
Car Insurance,6/4/2021,,$50.81,Transportation,,Checking,-$50.81,,$5190.82,Checking
Bagel Sandwitch,6/5/2021,,$7.35,Food,,Discover,-$7.35,,$5183.47,Discover
C Squad Icecream,6/5/2021,,$3.43,Food,,Discover,-$3.43,,$5180.04,Discover
Goodwill: Toaster,6/6/2021,$3.00,$6.00,Groceries,Apartment,Discover,-$3.00,,$5177.04,ApartmentDiscover
Ivy Food Court: Chicken Tenders,6/6/2021,$7.58,$15.15,Food,Apartment,Discover,-$7.58,,$5169.47,ApartmentDiscover
Goodwill: Dishes,6/6/2021,$8.00,$16.00,Groceries,Apartment,Discover,-$8.00,,$5161.47,ApartmentDiscover
Walmart: Groceries,6/6/2021,$60.30,$120.59,Groceries,Apartment,Discover,-$60.30,,$5101.17,ApartmentDiscover
Walmart: M B-pack,6/6/2021,,$24.35,Groceries,,Discover,-$24.35,,$5076.82,Discover
Postage: M Backpack,6/7/2021,,$14.20,M,,Discover,-$14.20,,$5062.62,Discover
Walmart: Pictures & Air Scent,6/8/2021,,$14.43,Groceries,,Discover,-$14.43,,$5048.19,Discover
COS Gas,6/8/2021,$0.02,$24.91,Transportation,Checking,Checking,-$24.89,,$5023.30,CheckingChecking
Interest,6/10/2021,$2.16,,Interest ,Savings,,$2.16,,$5025.46,Savings
Kratos Paycheck,6/11/2021,$571.86,,Work,Savings,,$571.86,,$5597.32,Savings
 Cash Rewards,6/12/2021,$0.47,,Rewards, Cash,,$0.47,,$5597.79, Cash
Madison Fly ORD -> WIT,6/13/2021,$40.00,$138.40,M,Checking,Discover,-$98.40,,$5499.39,CheckingDiscover
Urban Light Tithe,6/13/2021,,$40.00,Tithe (Legal),,Discover,-$40.00,,$5459.39,Discover
Discover Payment,6/15/2021,$245.02,$245.02,Misc,Discover,Savings,$0.00,,$5459.39,DiscoverSavings
Walmart butter and half&half,6/15/2021,,$2.50,Food,,Apartment,-$2.50,,$5456.89,Apartment
Ally Invest Deposit,6/18/2021,$1000.00,$1000.00,Investments,Ally Invest,Savings,$0.00,,$5456.89,Ally InvestSavings
COS Gas,6/19/2021,,$39.77,Transportation,,Discover,-$39.77,,$5417.12,Discover
Goodwill: Mini Fan,6/20/2021,$3.50,$7.00,Groceries,Apartment,Discover,-$3.50,,$5413.62,ApartmentDiscover
"Walmart: Chicken, Fan, Grocercies",6/20/2021,$76.99,$153.98,Groceries,Apartment,Discover,-$76.99,,$5336.63,ApartmentDiscover
 Watch for M,6/20/2021,$6.14,$204.50,M, Cash,Apple Card,-$198.36,,$5138.27, CashApple Card
iPhone XR,6/20/2021,$15.54,$507.46,Tech,Checking,Apple Card,-$491.92,,$4646.35,CheckingApple Card
Acorns Subscription,6/21/2021,,$1.00,Investments,,Checking,-$1.00,,$4645.35,Checking
Amazon Prime,6/22/2021,,$7.03,Tech,,Discover,-$7.03,,$4638.32,Discover
"Phone case, wallet, car charger",6/23/2021,,$70.51,Tech,,Discover,-$70.51,,$4567.81,Discover
Apple Cash Transfer,6/24/2021,$63.35,$63.35,Misc,Checking, Cash,$0.00,,$4567.81,Checking Cash
Kratos Paycheck,6/25/2021,$1295.39,,Work,Savings,,$1295.39,,$5863.20,Savings
Incline Pizza Lunch,6/26/2021,$12.00,$24.00,Food,Checking,Discover,-$12.00,,$5851.20,CheckingDiscover
Fly DEN->ORD,6/27/2021,,$108.40,Travel,,Discover,-$108.40,,$5742.80,Discover
Fly ORD->DEN,6/27/2021,,$86.00,Travel,,Discover,-$86.00,,$5656.80,Discover
Discover Payment,6/27/2021,$1121.31,$1121.31,Misc,Discover,Savings,$0.00,,$5656.80,DiscoverSavings
May/June Utilities,6/28/2021,$73.32,$146.64,Housing,Apartment,Checking,-$73.32,,$5583.48,ApartmentChecking
Walmart: Breakfast Stuff,6/29/2021,$5.44,$10.88,Groceries,Apartment,Discover,-$5.44,,$5578.04,ApartmentDiscover
Apple Subscription,6/29/2021,,$6.39,Entertainment,,Gift Card,-$6.39,,$5571.65,Gift Card
Apple Card Payment,6/30/2021,$78.04,$78.04,Misc,Apple Card,Savings,$0.00,,$5571.65,Apple CardSavings
Monthly Savings Withdrawl,7/1/2021,$850.00,$850.00,Misc,Checking,Savings,$0.00,,$5571.65,CheckingSavings
July Rent + May Utilities (Gabe),7/2/2021,,$461.27,Housing,,Apartment,-$461.27,,$5110.38,Apartment
Acorns Deposit,7/2/2021,$25.00,$25.00,Investments,Acorns,Checking,$0.00,,$5110.38,AcornsChecking
July Rent + May Utilities (Rob),7/2/2021,$307.52,$615.04,Housing,Apartment,Savings,-$307.52,,$4802.86,ApartmentSavings
July Rent Kratos Reimbursement,7/2/2021,$500.00,,Housing,Savings,,$500.00,,$5302.86,Savings
McDonald's Date,7/4/2021,,$18.88,M,,Discover,-$18.88,,$5283.98,Discover
Icecream w/ Tim & Gillian,7/4/2021,,$3.21,Food,,Discover,-$3.21,,$5280.77,Discover
Prime Movie Date,7/4/2021,,$4.32,M,,Discover,-$4.32,,$5276.45,Discover
M’s Train Ticket,7/4/2021,,$32.00,M,,Apple Card,-$32.00,,$5244.45,Apple Card
McDonald's,7/5/2021,,$5.17,Food,,Discover,-$5.17,,$5239.28,Discover
Airbnb Milwaukee,7/6/2021,,$105.44,Travel,,Discover,-$105.44,,$5133.84,Discover
Liberty Mutual,7/6/2021,,$50.81,Transportation,,Checking,-$50.81,,$5083.03,Checking
Gas COS -> WIT,7/6/2021,$25.00,$50.60,Travel,Checking,Checking,-$25.60,,$5057.43,CheckingChecking
Amtrack to Chicago --> Milwaukee,7/7/2021,,$24.00,Travel,,Discover,-$24.00,,$5033.43,Discover
Gas WIT --> COS,7/7/2021,$25.04,$59.29,Travel,Checking,Checking,-$34.25,,$4999.18,CheckingChecking
GasBuddy,7/9/2021,,$34.67,Transportation,,Checking,-$34.67,,$4964.51,Checking
Kratos Paycheck,7/9/2021,$2244.90,$1000.00,Work,Savings,Savings,$1244.90,,$6209.41,SavingsSavings
Walmart Groceries,7/9/2021,,$13.00,Food,,Apartment,-$13.00,,$6196.41,Apartment
Denver Parking,7/10/2021,,$19.99,Travel,,Discover,-$19.99,,$6176.42,Discover
Chicago Hotel,7/10/2021,,$80.68,Travel,,Discover,-$80.68,,$6095.74,Discover
Car Regestration Renewal,7/10/2021,,$74.50,Transportation,,Discover,-$74.50,,$6021.24,Discover
Interest Paid,7/10/2021,$1.56,,Interest,Savings,,$1.56,,$6022.80,Savings
Acorns Invest Transfer,7/12/2021,$750.00,$750.00,Misc,Acorns,Checking,$0.00,,$6022.80,AcornsChecking
Urban Light Tithe,7/13/2021,,$40.00,Tithe (Legal),,Discover,-$40.00,,$5982.80,Discover
Bannana Split,7/14/2021,,$7.94,Food,,Discover,-$7.94,,$5974.86,Discover
Acorns Subscription,7/21/2021,,$1.00,Investments,,Checking,-$1.00,,$5973.86,Checking
Chips,7/23/2021,,$1.50,Food,,Discover,-$1.50,,$5972.36,Discover
Milwauke Trip Public Transportation,7/23/2021,,$5.00,Travel,,Discover,-$5.00,,$5967.36,Discover
Kratos Paycheck,7/23/2021,$1627.69,$500.00,Work,Savings,Savings,$1127.69,,$7095.05,SavingsSavings
Kratos Retirement Match,7/23/2021,$68.02,,Retirement,Retirement,,$68.02,,$7163.07,Retirement
Kratos Retirement Deposit,7/23/2021,$90.70,,Retirement,Retirement,,$90.70,,$7253.77,Retirement
M Scents,7/25/2021,$40.00,$59.08,M,Checking,Discover,-$19.08,,$7234.69,CheckingDiscover
Whole Foods,7/26/2021,$9.97,$19.93,Groceries,Apartment,Discover,-$9.97,,$7224.73,ApartmentDiscover
Panera Date,7/26/2021,,$22.85,M,,Discover,-$22.85,,$7201.88,Discover
Gas: Carpet,7/26/2021,,$30.79,Transportation,,Checking,-$30.79,,$7171.09,Checking
Milwaukee Public Transportation,7/26/2021,,$14.50,Travel,,Apple Card,-$14.50,,$7156.59,Apple Card
Gas: Esta,7/27/2021,,$36.13,M,,Checking,-$36.13,,$7120.46,Checking
Gas: Mt Yale,7/28/2021,,$5.00,Transportation,,Checking,-$5.00,,$7115.46,Checking
Apple Subscription,7/29/2021,,$6.39,Entertainment,,Gift Card,-$6.39,,$7109.07,Gift Card
July Utilities,7/30/2021,$61.52,$123.04,Housing,Apartment,Checking,-$61.52,,$7047.55,ApartmentChecking
Apple Card Payment,7/31/2021,$711.96,$711.96,Misc,Apple Card,Savings,$0.00,,$7047.55,Apple CardSavings
Checking Transfer,7/31/2021,$2600.00,$2600.00,,Checking,Savings,$0.00,,$7047.55,CheckingSavings
Good Grades Reward,7/31/2021,$20.00,,Rewards,Discover,,$20.00,,$7067.55,Discover
Wal-Mart,8/1/2021,$35.32,$70.64,Groceries,Apartment,Discover,-$35.32,,$7032.23,ApartmentDiscover
Ally Invest Deposit,8/2/2021,$500.00,$500.00,Investments,Ally Invest,Checking,$0.00,,$7032.23,Ally InvestChecking
Acorns Deposit,8/2/2021,$25.00,$25.00,Investments,Acorns,Checking,$0.00,,$7032.23,AcornsChecking
Acorns Deposit,8/3/2021,$1500.00,$1500.00,Investments,Acorns,Checking,$0.00,,$7032.23,AcornsChecking
August Rent,8/3/2021,,$436.48,Housing,,Checking,-$436.48,,$6595.75,Checking
August Rent,8/3/2021,,$109.11,Housing,,Apartment,-$109.11,,$6486.64,Apartment
Shark Week Chocolate,8/4/2021,,$2.78,M,,Checking,-$2.78,,$6483.86,Checking
Liberty Mutual,8/4/2021,,$50.81,Transportation,,Checking,-$50.81,,$6433.05,Checking
Kratos Paycheck,8/6/2021,$1177.49,,Work,Savings,,$1177.49,,$7610.54,Savings
Kratos Retirement Match,8/6/2021,$71.24,,Retirement,Retirement,,$71.24,,$7681.78,Retirement
Kratos Retirement Deposit,8/6/2021,$94.98,,Retirement,Retirement,,$94.98,,$7776.76,Retirement
Goodwill Clothes & Shoes,8/8/2021,,$30.00,Clothes,,Discover,-$30.00,,$7746.76,Discover
Icecream w/ Timmy,8/10/2021,,$5.36,Food,,Discover,-$5.36,,$7741.40,Discover
COS Gas,8/10/2021,$0.04,$40.01,Transportation,Checking,Checking,-$39.97,,$7701.43,CheckingChecking
Interest Paid,8/10/2021,$1.95,,Interest,Savings,,$1.95,,$7703.38,Savings
5D Chess & Other Games,8/11/2021,,$9.00,Entertainment,,Discover,-$9.00,,$7694.38,Discover
Airpods & Wireless Charging Pad,8/11/2021,,$234.78,Tech,,Discover,-$234.78,,$7459.60,Discover
Urban Light Tithe,8/13/2021,,$40.00,Tithe (Legal),,Discover,-$40.00,,$7419.60,Discover
Snowl,8/14/2021,,$6.75,Food,,Checking,-$6.75,,$7412.85,Checking
Special Sodas,8/14/2021,,$5.38,M,,Discover,-$5.38,,$7407.47,Discover
Sushi Katsu 2,8/14/2021,,$23.73,Food,,Discover,-$23.73,,$7383.74,Discover
Discover Payment,8/15/2021,$613.41,$613.41,Misc,Discover,Savings,$0.00,,$7383.74,DiscoverSavings
King Soopers,8/15/2021,,$7.96,Groceries,,Discover,-$7.96,,$7375.78,Discover
Kratos Paycheck,8/20/2021,$1189.36,,Work,Savings,,$1189.36,,$8565.14,Savings
Kratos Retirement Deposit,8/20/2021,$168.00,,Retirement,Retirement,,$168.00,,$8733.14,Retirement
COS Deposit Reimbursement,8/20/2021,$96.82,,Housing,Savings,,$96.82,,$8829.96,Savings
Mr. Cox Gift,8/20/2021,$20.00,,Gift,Cash,,$20.00,,$8849.96,Cash
Gas COS --> TX,8/21/2021,,$37.05,Travel,,Discover,-$37.05,,$8812.91,Discover
soda,8/21/2021,,$1.40,Food,,Discover,-$1.40,,$8811.51,Discover
Carpet: Oil Change,8/23/2021,,$43.67,Transportation,,Discover,-$43.67,,$8767.84,Discover
TX Car Inspection,8/23/2021,,$7.00,Transportation,,Discover,-$7.00,,$8760.84,Discover
Acorns Subscription,8/23/2021,,$1.00,Investments,,Checking,-$1.00,,$8759.84,Checking
Gas COS --> TX,8/24/2021,,$58.25,Travel,,Checking,-$58.25,,$8701.59,Checking
Ally Transfer,8/25/2021,$219.20,$219.20,Misc,Checking,Savings,$0.00,,$8701.59,CheckingSavings
August Utilities,8/26/2021,$76.23,$152.46,Housing,Apartment,Checking,-$76.23,,$8625.36,ApartmentChecking
Kratos Paycheck,8/26/2021,$566.34,,Work,Savings,,$566.34,,$9191.70,Savings
Kratos Retirement Deposit,8/26/2021,$74.74,$48.41,Retirement,Retirement,Apartment,$26.33,,$9218.03,RetirementApartment
Apartment Zeroring Balance,8/27/2021,$32.55,$32.55,Misc,Checking,Apartment,$0.01,,$9218.03,CheckingApartment
M Round Trip Flight To Prauge,8/28/2021,,$467.95,M,,Apple Card,-$467.95,,$8750.08,Apple Card
Apple Subscription,8/29/2021,,$6.39,Entertainment,,Gift Card,-$6.39,,$8743.69,Gift Card
Gas TX --> Taylor,8/30/2021,,$67.46,Travel,,Checking,-$67.46,,$8676.23,Checking
Ally Transfer,8/31/2021,$218.00,$218.00,Misc,Checking,Savings,$0.00,,$8743.69,CheckingSavings
Apple Card Payment,8/31/2021,$46.50,$46.50,Misc,Apple Card,Savings,$0.00,,$8743.69,Apple CardSavings
Things for iOS,8/31/2021,,$10.81,Tech,,Gift Card,-$10.81,,$8732.88,Gift Card
Architecture Textbook,9/2/2021,,$31.26,Textbook,,Discover,-$31.26,,$8701.62,Discover
Initiation IHOP,9/2/2021,,$26.65,Food,,Discover,-$26.65,,$8674.97,Discover
Flight LAS --> IND,9/3/2021,,$70.00,Travel,,Apple Card,-$70.00,,$8631.62,Apple Card
Flight IND --> LAS,9/3/2021,,$61.98,Travel,,Apple Card,-$61.98,,$8569.64,Apple Card
Outback 1 Year Date,9/4/2021,,$38.19,M,,Discover,-$38.19,,$8531.45,Discover
Bike,9/4/2021,,$115.56,Transportation,,Discover,-$115.56,,$8415.89,Discover
Chalk Walk PAD Ivanhoes,9/4/2021,,$8.56,M,,Discover,-$8.56,,$8407.33,Discover
Walmart Picnic Date,9/4/2021,,$40.91,M,,Discover,-$40.91,,$8366.42,Discover
Gerig Dinner,9/7/2021,,$4.00,Food,,Checking,-$4.00,,$8362.42,Checking
Liberty Mutual,9/7/2021,,$50.81,Transportation,,Checking,-$50.81,,$8311.61,Checking
Gas Taylor,9/8/2021,,$31.96,Transportation,,Checking,-$31.96,,$8279.65,Checking
Taylor COVID Check,9/8/2021,$250.00,,Grant,Savings,,$250.00,,$8529.65,Savings
Interest Paid,9/10/2021,$1.84,,Interest,Savings,,$1.84,,$8531.49,Savings
Interest Paid,9/10/2021,$0.01,,Interest,Checking,,$0.01,,$8531.50,Checking
Deli Lunch KJ Double Date,9/12/2021,,$16.32,Food,,Discover,-$16.32,,$8515.18,Discover
Urban Light Tithe,9/13/2021,,$40.00,Tithe (Legal),,Discover,-$40.00,,$8475.18,Discover
Things for Mac,9/15/2021,,$29.09,Tech,,Discover,-$29.09,,$8446.09,Discover
Things for Mac,9/15/2021,,$25.02,Tech,,Gift Card,-$25.02,,$8421.07,Gift Card
Discover Payment,9/15/2021,$515.21,$515.21,Misc,Discover,Savings,$0.00,,$8446.09,DiscoverSavings
Capstone Textbook,9/16/2021,,$13.90,Textbook,,Discover,-$13.90,,$8432.19,Discover
KFC M dinner,9/19/2021,,$16.67,Food,,Discover,-$16.67,,$8415.52,Discover
Theory of Comp Textbook,9/19/2021,,$30.79,Textbook,,Discover,-$30.79,,$8384.73,Discover
Acorns Subscription,9/20/2021,,$1.00,Investments,,Checking,-$1.00,,$8383.73,Checking
Gas Upland,9/21/2021,,$30.63,Transportation,,Checking,-$30.63,,$8353.10,Checking
Sacred Search Book,9/22/2021,,$8.50,Textbook,,Checking,-$8.50,,$8344.60,Checking
iCloud Apple Subscription,9/28/2021,,$0.99,Tech,,Discover,-$0.99,,$8343.61,Discover
Taylor Scholarship Reimbursement,9/28/2021,$948.00,,Grant,Savings,,$948.00,,$9291.61,Savings
Brigaderos from Tessa,9/28/2021,,$2.00,Food,,Checking,-$2.00,,$9289.61,Checking
3 Months Spotify,9/30/2021,,$9.99,Entertainment,,Discover,-$9.99,,$9279.62,Discover
Apple Card Payment,9/30/2021,$467.95,$467.95,Payment,Apple Card,Savings,$0.00,,$9279.62,Apple CardSavings
Taylor Paycheck,10/1/2021,$13.75,,Work,Savings,,$13.75,,$9293.37,Savings
Apple Cash Rewards Transfer,10/2/2021,$6.29,,Misc,Checking,,$6.29,,$9299.66,Checking
Sallie's Ice Cream,10/2/2021,,$5.82,Food,,Discover,-$5.82,,$9293.84,Discover
Tyler Visit Gas,10/3/2021,,$7.00,Transportation,,Checking,-$7.00,,$9286.84,Checking
Subway,10/3/2021,,$6.43,Food,,Discover,-$6.43,,$9280.41,Discover
Liberty Mutual,10/6/2021,,$50.81,Transportation,,Checking,-$50.81,,$9229.60,Checking
Interest Paid,10/10/2021,$0.01,,Interest,Checking,,$0.01,,$9229.61,Checking
Interest Paid,10/10/2021,$1.98,,Interest,Savings,,$1.98,,$9231.59,Savings
Plant for M,10/12/2021,,$5.00,M,,Discover,-$5.00,,$9226.59,Discover
Peacock,10/13/2021,,$5.40,Entertainment,,Discover,-$5.40,,$9221.19,Discover
Urban Light Tithe,10/13/2021,,$40.00,Tithe (Legal),,Discover,-$40.00,,$9181.19,Discover
GasBuddy,10/13/2021,,$36.89,Transportation,,Checking,-$36.89,,$9144.30,Checking
Soccer Fees,10/15/2021,,$6.84,Fees,,Discover,-$6.84,,$9137.46,Discover
Discover Payment,10/15/2021,$497.02,$497.02,Misc,Discover,Savings,$0.00,,$9137.46,DiscoverSavings
Chargers,10/17/2021,,$45.88,Tech,,Discover,-$45.88,,$9091.58,Discover
Architecture Textbook,10/17/2021,,$74.96,Textbook,,Discover,-$74.96,,$9016.62,Discover
Indy Airport Parking,10/18/2021,,$70.00,Travel,,Discover,-$70.00,,$8946.62,Discover
Panda Express,10/18/2021,$8.00,$8.61,M,Checking,Discover,-$0.61,,$8946.01,CheckingDiscover
Fake Ring & Bow,10/19/2021,,$11.64,M,,Discover,-$11.64,,$8934.37,Discover
GasBuddy,10/20/2021,,$34.04,Transportation,,Checking,-$34.04,,$8900.33,Checking
Subscription Acorns,10/21/2021,,$1.00,Investments,,Checking,-$1.00,,$8899.33,Checking
Countdown Widget,10/22/2021,,$4.32,Tech,,Discover,-$4.32,,$8895.01,Discover
Haircut from Tessa,10/23/2021,,$15.00,Cosmetics,,Checking,-$15.00,,$8880.01,Checking
Transfer to Checking,10/23/2021,$120.00,$120.00,Misc,Checking,Savings,$0.00,,$8880.01,CheckingSavings
Mygen,10/25/2021,,$5.00,Entertainment,,Discover,-$5.00,,$8875.01,Discover
Apple iCloud Subscription,10/28/2021,,$0.99,Tech,,Discover,-$0.99,,$8874.02,Discover
Stadia FPS Game,10/29/2021,,$31.97,Entertainment,,Discover,-$31.97,,$8842.05,Discover
Flowers for M,10/30/2021,$0.53,$53.30,M,Checking,Apple Card,-$52.77,,$8789.28,CheckingApple Card
Applebees App Run,10/31/2021,,$6.22,Food,,Checking,-$6.22,,$8783.06,Checking
Apple Card Payment,10/31/2021,$131.98,$131.98,Misc,Apple Card,Savings,$0.00,,$8783.06,Apple CardSavings
Mosaic Night,11/2/2021,,$5.00,Entertainment,,Discover,-$5.00,,$8778.06,Discover
Liberty Mutual,11/4/2021,,$50.81,Transportation,,Checking,-$50.81,,$8727.25,Checking
M Photos,11/7/2021,,$3.04,M,,Discover,-$3.04,,$8724.21,Discover
Interest Paid,11/10/2021,$0.01,,Interest,Checking,,$0.01,,$8724.22,Checking
Interest Paid,11/10/2021,$1.92,,Interest,Savings,,$1.92,,$8726.14,Savings
Urban Light Tithe,11/13/2021,,$40.00,Groceries,,Discover,-$40.00,,$8686.14,Discover
Discover Payment,11/15/2021,$291.56,$291.56,Misc,Discover,Savings,$0.00,,$8686.14,DiscoverSavings
House Keeper Gift,11/19/2021,,$10.00,Gift,,Checking,-$10.00,,$8676.14,Checking
Gerig Thanksgiving,11/20/2021,,$5.00,Food,,Checking,-$5.00,,$8671.14,Checking
Spring Semester,11/20/2021,,$1348.20,Direct College,,Apple Card,-$1348.20,,$7322.94,Apple Card
Panera Bread,11/20/2021,,$12.39,Restaurants,,Apple Card,-$12.39,,$7310.55,Apple Card
Subscription Acorns,11/22/2021,,$1.00,Investments,,Checking,-$1.00,,$7309.55,Checking
Upland Gas,11/23/2021,,$36.79,Transportation,,Checking,-$36.79,,$7272.76,Checking
Texas Christmas Flights,11/26/2021,,$123.54,Travel,,Discover,-$123.54,,$7149.22,Discover
Ukelele,11/27/2021,,$54.48,M,,Discover,-$54.48,,$7094.74,Discover
Thanksgiving Gas,11/28/2021,,$40.01,Travel,,Discover,-$40.01,,$7054.73,Discover
Noodles & Company,11/28/2021,,$9.54,Food,,Discover,-$9.54,,$7045.19,Discover
Transfer,11/28/2021,$200.00,$200.00,Misc,Checking,Savings,$0.00,,$7045.19,CheckingSavings
Typora,11/29/2021,,$16.04,Tech,,Discover,-$16.04,,$7029.15,Discover
Thanksgiving Gas,11/30/2021,,$38.47,Travel,,Checking,-$38.47,,$6990.68,Checking
PAD Shirts,12/4/2021,,$20.00,Entertainment,,Checking,-$20.00,,$6970.68,Checking
Apple Card Rewards,12/5/2021,$27.33,,Rewards,Checking,,$27.33,,$6998.01,Checking
Thriftbooks,12/5/2021,,$12.71,M,,Apple Card,-$12.71,,$6985.30,Apple Card
Raspberry Pi Picos,12/5/2021,,$39.38,Tech,,Discover,-$39.38,,$6945.92,Discover
Refer A Friend,12/6/2021,$100.00,,Rewards,Discover,,$100.00,,$7045.92,Discover
Liberty Mutual,12/6/2021,,$50.77,Transportation,,Checking,-$50.77,,$6995.15,Checking
